n_estimators,learning_rate,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
800,0.01,8,0.9652701212789415,0.8566037735849057,0.8503401360544217
800,0.01,10,0.9658213891951488,0.8603773584905661,0.8367346938775511
800,0.01,12,0.9669239250275634,0.8566037735849057,0.8571428571428571
800,0.01,15,0.9680264608599779,0.8603773584905661,0.8571428571428571
900,0.01,8,0.9674751929437707,0.8603773584905661,0.8503401360544217
900,0.01,10,0.9685777287761852,0.8603773584905661,0.8571428571428571
900,0.01,12,0.9680264608599779,0.8566037735849057,0.8571428571428571
900,0.01,15,0.9680264608599779,0.8603773584905661,0.8571428571428571
1000,0.01,8,0.9718853362734289,0.8641509433962264,0.8503401360544217
1000,0.01,10,0.9702315325248071,0.8603773584905661,0.8503401360544217
1000,0.01,12,0.9713340683572216,0.8603773584905661,0.8571428571428571
1000,0.01,15,0.9718853362734289,0.8603773584905661,0.8435374149659864
