C,penalty,solver,train_accuracy,validation_accuracy,test_accuracy
0.01,l1,liblinear,0.7276736493936052,0.7018867924528301,0.6802721088435374
0.01,l1,saga,0.6835722160970231,0.7018867924528301,0.6802721088435374
0.01,l2,liblinear,0.7574421168687983,0.7169811320754716,0.6938775510204082
0.01,l2,saga,0.7695700110253583,0.7094339622641509,0.7142857142857143
0.1,l1,liblinear,0.7585446527012127,0.7433962264150943,0.7210884353741497
0.1,l1,saga,0.7783902976846747,0.7358490566037735,0.6938775510204082
0.1,l2,liblinear,0.7899669239250275,0.7509433962264151,0.7346938775510204
0.1,l2,saga,0.7850055126791621,0.7471698113207547,0.7210884353741497
1.0,l1,liblinear,0.7899669239250275,0.7735849056603774,0.7278911564625851
1.0,l1,saga,0.7894156560088202,0.7622641509433963,0.7346938775510204
1.0,l2,liblinear,0.7905181918412348,0.7773584905660378,0.7210884353741497
1.0,l2,saga,0.7894156560088202,0.7773584905660378,0.7210884353741497
10.0,l1,liblinear,0.7943770672546858,0.7735849056603774,0.7346938775510204
10.0,l1,saga,0.7943770672546858,0.7773584905660378,0.7414965986394558
10.0,l2,liblinear,0.794928335170893,0.7811320754716982,0.7346938775510204
10.0,l2,saga,0.7943770672546858,0.7811320754716982,0.7346938775510204
100.0,l1,liblinear,0.7965821389195149,0.7660377358490567,0.7414965986394558
100.0,l1,saga,0.7965821389195149,0.7660377358490567,0.7414965986394558
100.0,l2,liblinear,0.7960308710033076,0.769811320754717,0.7414965986394558
100.0,l2,saga,0.7960308710033076,0.769811320754717,0.7414965986394558
