n_estimators,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
600,8,0.9691289966923925,0.8867924528301887,0.8639455782312925
600,10,0.9614112458654906,0.879245283018868,0.8435374149659864
600,12,0.9597574421168688,0.8830188679245283,0.8299319727891157
600,15,0.9503858875413451,0.8754716981132076,0.8231292517006803
700,8,0.9691289966923925,0.8867924528301887,0.8639455782312925
700,10,0.9608599779492834,0.8830188679245283,0.8367346938775511
700,12,0.9586549062844543,0.8867924528301887,0.8435374149659864
700,15,0.9498346196251378,0.8716981132075472,0.8231292517006803
800,8,0.9685777287761852,0.8867924528301887,0.8707482993197279
800,10,0.9608599779492834,0.8830188679245283,0.8435374149659864
800,12,0.9586549062844543,0.8830188679245283,0.8367346938775511
800,15,0.9509371554575524,0.8716981132075472,0.8095238095238095
