C,kernel,gamma,degree,train_accuracy,validation_accuracy,test_accuracy
0.01,linear,scale,2,0.7761852260198456,0.7283018867924528,0.7006802721088435
0.01,linear,scale,3,0.7761852260198456,0.7283018867924528,0.7006802721088435
0.01,linear,scale,4,0.7761852260198456,0.7283018867924528,0.7006802721088435
0.01,linear,auto,2,0.7761852260198456,0.7283018867924528,0.7006802721088435
0.01,linear,auto,3,0.7761852260198456,0.7283018867924528,0.7006802721088435
0.01,linear,auto,4,0.7761852260198456,0.7283018867924528,0.7006802721088435
0.01,poly,scale,2,0.7287761852260198,0.5773584905660377,0.5850340136054422
0.01,poly,scale,3,0.756890848952591,0.6188679245283019,0.5986394557823129
0.01,poly,scale,4,0.7778390297684675,0.6528301886792452,0.5986394557823129
0.01,poly,auto,2,0.5104740904079382,0.16226415094339622,0.16326530612244897
0.01,poly,auto,3,0.5104740904079382,0.16226415094339622,0.16326530612244897
0.01,poly,auto,4,0.5104740904079382,0.16226415094339622,0.16326530612244897
0.01,rbf,scale,2,0.5104740904079382,0.16226415094339622,0.16326530612244897
0.01,rbf,scale,3,0.5104740904079382,0.16226415094339622,0.16326530612244897
0.01,rbf,scale,4,0.5104740904079382,0.16226415094339622,0.16326530612244897
0.01,rbf,auto,2,0.5104740904079382,0.16226415094339622,0.16326530612244897
0.01,rbf,auto,3,0.5104740904079382,0.16226415094339622,0.16326530612244897
0.01,rbf,auto,4,0.5104740904079382,0.16226415094339622,0.16326530612244897
0.01,sigmoid,scale,2,0.5104740904079382,0.16226415094339622,0.16326530612244897
0.01,sigmoid,scale,3,0.5104740904079382,0.16226415094339622,0.16326530612244897
0.01,sigmoid,scale,4,0.5104740904079382,0.16226415094339622,0.16326530612244897
0.01,sigmoid,auto,2,0.5104740904079382,0.16226415094339622,0.16326530612244897
0.01,sigmoid,auto,3,0.5104740904079382,0.16226415094339622,0.16326530612244897
0.01,sigmoid,auto,4,0.5104740904079382,0.16226415094339622,0.16326530612244897
0.1,linear,scale,2,0.794928335170893,0.7584905660377359,0.7346938775510204
0.1,linear,scale,3,0.794928335170893,0.7584905660377359,0.7346938775510204
0.1,linear,scale,4,0.794928335170893,0.7584905660377359,0.7346938775510204
0.1,linear,auto,2,0.794928335170893,0.7584905660377359,0.7346938775510204
0.1,linear,auto,3,0.794928335170893,0.7584905660377359,0.7346938775510204
0.1,linear,auto,4,0.794928335170893,0.7584905660377359,0.7346938775510204
0.1,poly,scale,2,0.8302094818081588,0.7622641509433963,0.7210884353741497
0.1,poly,scale,3,0.8880926130099228,0.7924528301886793,0.7346938775510204
0.1,poly,scale,4,0.9443219404630651,0.8075471698113208,0.7346938775510204
0.1,poly,auto,2,0.5104740904079382,0.16226415094339622,0.16326530612244897
0.1,poly,auto,3,0.5104740904079382,0.16226415094339622,0.16326530612244897
0.1,poly,auto,4,0.5104740904079382,0.16226415094339622,0.16326530612244897
0.1,rbf,scale,2,0.8379272326350606,0.7924528301886793,0.7755102040816326
0.1,rbf,scale,3,0.8379272326350606,0.7924528301886793,0.7755102040816326
0.1,rbf,scale,4,0.8379272326350606,0.7924528301886793,0.7755102040816326
0.1,rbf,auto,2,0.7480705622932745,0.6679245283018868,0.6530612244897959
0.1,rbf,auto,3,0.7480705622932745,0.6679245283018868,0.6530612244897959
0.1,rbf,auto,4,0.7480705622932745,0.6679245283018868,0.6530612244897959
0.1,sigmoid,scale,2,0.7298787210584344,0.7056603773584905,0.6938775510204082
0.1,sigmoid,scale,3,0.7298787210584344,0.7056603773584905,0.6938775510204082
0.1,sigmoid,scale,4,0.7298787210584344,0.7056603773584905,0.6938775510204082
0.1,sigmoid,auto,2,0.7166482910694597,0.5773584905660377,0.5850340136054422
0.1,sigmoid,auto,3,0.7166482910694597,0.5773584905660377,0.5850340136054422
0.1,sigmoid,auto,4,0.7166482910694597,0.5773584905660377,0.5850340136054422
1.0,linear,scale,2,0.8059536934950385,0.7622641509433963,0.7210884353741497
1.0,linear,scale,3,0.8059536934950385,0.7622641509433963,0.7210884353741497
1.0,linear,scale,4,0.8059536934950385,0.7622641509433963,0.7210884353741497
1.0,linear,auto,2,0.8059536934950385,0.7622641509433963,0.7210884353741497
1.0,linear,auto,3,0.8059536934950385,0.7622641509433963,0.7210884353741497
1.0,linear,auto,4,0.8059536934950385,0.7622641509433963,0.7210884353741497
1.0,poly,scale,2,0.922271223814774,0.7962264150943397,0.7755102040816326
1.0,poly,scale,3,0.9785005512679162,0.8075471698113208,0.8027210884353742
1.0,poly,scale,4,0.9928335170893055,0.8037735849056604,0.8095238095238095
1.0,poly,auto,2,0.7717750826901875,0.6867924528301886,0.6666666666666666
1.0,poly,auto,3,0.5529217199558986,0.2528301886792453,0.21768707482993196
1.0,poly,auto,4,0.5104740904079382,0.16226415094339622,0.16326530612244897
1.0,rbf,scale,2,0.964167585446527,0.8226415094339623,0.8095238095238095
1.0,rbf,scale,3,0.964167585446527,0.8226415094339623,0.8095238095238095
1.0,rbf,scale,4,0.964167585446527,0.8226415094339623,0.8095238095238095
1.0,rbf,auto,2,0.8252480705622933,0.769811320754717,0.7482993197278912
1.0,rbf,auto,3,0.8252480705622933,0.769811320754717,0.7482993197278912
1.0,rbf,auto,4,0.8252480705622933,0.769811320754717,0.7482993197278912
1.0,sigmoid,scale,2,0.5804851157662624,0.6150943396226415,0.5850340136054422
1.0,sigmoid,scale,3,0.5804851157662624,0.6150943396226415,0.5850340136054422
1.0,sigmoid,scale,4,0.5804851157662624,0.6150943396226415,0.5850340136054422
1.0,sigmoid,auto,2,0.7772877618522602,0.7320754716981132,0.7346938775510204
1.0,sigmoid,auto,3,0.7772877618522602,0.7320754716981132,0.7346938775510204
1.0,sigmoid,auto,4,0.7772877618522602,0.7320754716981132,0.7346938775510204
10.0,linear,scale,2,0.8164277839029769,0.7584905660377359,0.7074829931972789
10.0,linear,scale,3,0.8164277839029769,0.7584905660377359,0.7074829931972789
10.0,linear,scale,4,0.8164277839029769,0.7584905660377359,0.7074829931972789
10.0,linear,auto,2,0.8164277839029769,0.7584905660377359,0.7074829931972789
10.0,linear,auto,3,0.8164277839029769,0.7584905660377359,0.7074829931972789
10.0,linear,auto,4,0.8164277839029769,0.7584905660377359,0.7074829931972789
10.0,poly,scale,2,0.980154355016538,0.8188679245283019,0.7959183673469388
10.0,poly,scale,3,0.9988974641675854,0.7962264150943397,0.7891156462585034
