n_estimators,learning_rate,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
800,0.01,8,0.9764705882352941,0.5471698113207547,0.5714285714285714
800,0.01,10,0.9852941176470589,0.5471698113207547,0.564625850340136
800,0.01,12,0.9794117647058823,0.5509433962264151,0.564625850340136
800,0.01,15,0.9764705882352941,0.5849056603773585,0.5918367346938775
900,0.01,8,0.9823529411764705,0.5433962264150943,0.5714285714285714
900,0.01,10,0.9882352941176471,0.5471698113207547,0.5714285714285714
900,0.01,12,0.9823529411764705,0.5509433962264151,0.564625850340136
900,0.01,15,0.9764705882352941,0.5962264150943396,0.5918367346938775
1000,0.01,8,0.9852941176470589,0.5433962264150943,0.5782312925170068
1000,0.01,10,0.9911764705882353,0.5471698113207547,0.5714285714285714
1000,0.01,12,0.9852941176470589,0.5584905660377358,0.5714285714285714
1000,0.01,15,0.9794117647058823,0.5924528301886792,0.6122448979591837
