C,penalty,solver,train_accuracy,validation_accuracy,test_accuracy
0.01,l1,liblinear,0.5,0.8377358490566038,0.8367346938775511
0.01,l1,saga,0.5,0.8377358490566038,0.8367346938775511
0.01,l2,liblinear,0.7147058823529412,0.6,0.5510204081632653
0.01,l2,saga,0.7294117647058823,0.5547169811320755,0.4897959183673469
0.1,l1,liblinear,0.6941176470588235,0.6490566037735849,0.5578231292517006
0.1,l1,saga,0.7029411764705882,0.5735849056603773,0.4897959183673469
0.1,l2,liblinear,0.7794117647058824,0.5811320754716981,0.5102040816326531
0.1,l2,saga,0.7735294117647059,0.569811320754717,0.48299319727891155
1.0,l1,liblinear,0.788235294117647,0.5962264150943396,0.5170068027210885
1.0,l1,saga,0.7852941176470588,0.5849056603773585,0.4965986394557823
1.0,l2,liblinear,0.7764705882352941,0.5735849056603773,0.48299319727891155
1.0,l2,saga,0.7794117647058824,0.5660377358490566,0.46258503401360546
10.0,l1,liblinear,0.7970588235294118,0.5622641509433962,0.5102040816326531
10.0,l1,saga,0.8029411764705883,0.5660377358490566,0.5170068027210885
10.0,l2,liblinear,0.7941176470588235,0.5547169811320755,0.5170068027210885
10.0,l2,saga,0.7941176470588235,0.5547169811320755,0.5034013605442177
100.0,l1,liblinear,0.8058823529411765,0.5471698113207547,0.5034013605442177
100.0,l1,saga,0.8058823529411765,0.5433962264150943,0.5034013605442177
100.0,l2,liblinear,0.8029411764705883,0.5433962264150943,0.5034013605442177
100.0,l2,saga,0.8029411764705883,0.5433962264150943,0.5034013605442177
