C,kernel,gamma,degree,train_accuracy,validation_accuracy,test_accuracy
0.01,linear,scale,2,0.7058823529411765,0.6528301886792452,0.5918367346938775
0.01,linear,scale,3,0.7058823529411765,0.6528301886792452,0.5918367346938775
0.01,linear,scale,4,0.7058823529411765,0.6528301886792452,0.5918367346938775
0.01,linear,auto,2,0.7058823529411765,0.6528301886792452,0.5918367346938775
0.01,linear,auto,3,0.7058823529411765,0.6528301886792452,0.5918367346938775
0.01,linear,auto,4,0.7058823529411765,0.6528301886792452,0.5918367346938775
0.01,poly,scale,2,0.7235294117647059,0.569811320754717,0.5306122448979592
0.01,poly,scale,3,0.7147058823529412,0.47924528301886793,0.46258503401360546
0.01,poly,scale,4,0.6882352941176471,0.35094339622641507,0.36054421768707484
0.01,poly,auto,2,0.7235294117647059,0.569811320754717,0.5306122448979592
0.01,poly,auto,3,0.7147058823529412,0.47924528301886793,0.46258503401360546
0.01,poly,auto,4,0.6882352941176471,0.35094339622641507,0.3673469387755102
0.01,rbf,scale,2,0.7323529411764705,0.539622641509434,0.4965986394557823
0.01,rbf,scale,3,0.7323529411764705,0.539622641509434,0.4965986394557823
0.01,rbf,scale,4,0.7323529411764705,0.539622641509434,0.4965986394557823
0.01,rbf,auto,2,0.6794117647058824,0.7056603773584905,0.6394557823129252
0.01,rbf,auto,3,0.6794117647058824,0.7056603773584905,0.6394557823129252
0.01,rbf,auto,4,0.6794117647058824,0.7056603773584905,0.6394557823129252
0.01,sigmoid,scale,2,0.6205882352941177,0.8,0.7482993197278912
0.01,sigmoid,scale,3,0.6205882352941177,0.8,0.7482993197278912
0.01,sigmoid,scale,4,0.6205882352941177,0.8,0.7482993197278912
0.01,sigmoid,auto,2,0.6764705882352942,0.7132075471698113,0.6802721088435374
0.01,sigmoid,auto,3,0.6764705882352942,0.7132075471698113,0.6802721088435374
0.01,sigmoid,auto,4,0.6764705882352942,0.7132075471698113,0.6802721088435374
0.1,linear,scale,2,0.7794117647058824,0.5962264150943396,0.5374149659863946
0.1,linear,scale,3,0.7794117647058824,0.5962264150943396,0.5374149659863946
0.1,linear,scale,4,0.7794117647058824,0.5962264150943396,0.5374149659863946
0.1,linear,auto,2,0.7794117647058824,0.5962264150943396,0.5374149659863946
0.1,linear,auto,3,0.7794117647058824,0.5962264150943396,0.5374149659863946
0.1,linear,auto,4,0.7794117647058824,0.5962264150943396,0.5374149659863946
0.1,poly,scale,2,0.7558823529411764,0.5547169811320755,0.46938775510204084
0.1,poly,scale,3,0.788235294117647,0.539622641509434,0.46938775510204084
0.1,poly,scale,4,0.8470588235294118,0.5320754716981132,0.4489795918367347
0.1,poly,auto,2,0.7235294117647059,0.569811320754717,0.5306122448979592
0.1,poly,auto,3,0.7147058823529412,0.47924528301886793,0.46258503401360546
0.1,poly,auto,4,0.6882352941176471,0.35094339622641507,0.3673469387755102
0.1,rbf,scale,2,0.75,0.49056603773584906,0.4421768707482993
0.1,rbf,scale,3,0.75,0.49056603773584906,0.4421768707482993
0.1,rbf,scale,4,0.75,0.49056603773584906,0.4421768707482993
0.1,rbf,auto,2,0.6794117647058824,0.7056603773584905,0.6394557823129252
0.1,rbf,auto,3,0.6794117647058824,0.7056603773584905,0.6394557823129252
0.1,rbf,auto,4,0.6794117647058824,0.7056603773584905,0.6394557823129252
0.1,sigmoid,scale,2,0.6764705882352942,0.7169811320754716,0.6462585034013606
0.1,sigmoid,scale,3,0.6764705882352942,0.7169811320754716,0.6462585034013606
0.1,sigmoid,scale,4,0.6764705882352942,0.7169811320754716,0.6462585034013606
0.1,sigmoid,auto,2,0.6764705882352942,0.7132075471698113,0.6802721088435374
0.1,sigmoid,auto,3,0.6764705882352942,0.7132075471698113,0.6802721088435374
0.1,sigmoid,auto,4,0.6764705882352942,0.7132075471698113,0.6802721088435374
1.0,linear,scale,2,0.7970588235294118,0.5735849056603773,0.5238095238095238
1.0,linear,scale,3,0.7970588235294118,0.5735849056603773,0.5238095238095238
1.0,linear,scale,4,0.7970588235294118,0.5735849056603773,0.5238095238095238
1.0,linear,auto,2,0.7970588235294118,0.5735849056603773,0.5238095238095238
1.0,linear,auto,3,0.7970588235294118,0.5735849056603773,0.5238095238095238
1.0,linear,auto,4,0.7970588235294118,0.5735849056603773,0.5238095238095238
1.0,poly,scale,2,0.861764705882353,0.5584905660377358,0.5034013605442177
1.0,poly,scale,3,0.9294117647058824,0.5471698113207547,0.5578231292517006
1.0,poly,scale,4,0.9676470588235294,0.569811320754717,0.564625850340136
1.0,poly,auto,2,0.7235294117647059,0.569811320754717,0.5306122448979592
1.0,poly,auto,3,0.7147058823529412,0.47924528301886793,0.46258503401360546
1.0,poly,auto,4,0.6882352941176471,0.35094339622641507,0.3673469387755102
1.0,rbf,scale,2,0.8794117647058823,0.5245283018867924,0.4421768707482993
1.0,rbf,scale,3,0.8794117647058823,0.5245283018867924,0.4421768707482993
1.0,rbf,scale,4,0.8794117647058823,0.5245283018867924,0.4421768707482993
1.0,rbf,auto,2,0.7705882352941177,0.569811320754717,0.5034013605442177
1.0,rbf,auto,3,0.7705882352941177,0.569811320754717,0.5034013605442177
1.0,rbf,auto,4,0.7705882352941177,0.569811320754717,0.5034013605442177
1.0,sigmoid,scale,2,0.7,0.5660377358490566,0.5102040816326531
1.0,sigmoid,scale,3,0.7,0.5660377358490566,0.5102040816326531
1.0,sigmoid,scale,4,0.7,0.5660377358490566,0.5102040816326531
1.0,sigmoid,auto,2,0.7470588235294118,0.6188679245283019,0.5374149659863946
1.0,sigmoid,auto,3,0.7470588235294118,0.6188679245283019,0.5374149659863946
1.0,sigmoid,auto,4,0.7470588235294118,0.6188679245283019,0.5374149659863946
10.0,linear,scale,2,0.7970588235294118,0.6113207547169811,0.5714285714285714
10.0,linear,scale,3,0.7970588235294118,0.6113207547169811,0.5714285714285714
10.0,linear,scale,4,0.7970588235294118,0.6113207547169811,0.5714285714285714
10.0,linear,auto,2,0.7970588235294118,0.6113207547169811,0.5714285714285714
10.0,linear,auto,3,0.7970588235294118,0.6113207547169811,0.5714285714285714
10.0,linear,auto,4,0.7970588235294118,0.6113207547169811,0.5714285714285714
10.0,poly,scale,2,0.9647058823529412,0.5622641509433962,0.5578231292517006
10.0,poly,scale,3,0.9970588235294118,0.5547169811320755,0.5034013605442177
10.0,poly,scale,4,1.0,0.5547169811320755,0.5306122448979592
10.0,poly,auto,2,0.788235294117647,0.5735849056603773,0.4965986394557823
10.0,poly,auto,3,0.7352941176470589,0.49433962264150944,0.4489795918367347
10.0,poly,auto,4,0.6882352941176471,0.35094339622641507,0.3673469387755102
10.0,rbf,scale,2,0.9735294117647059,0.5622641509433962,0.4965986394557823
10.0,rbf,scale,3,0.9735294117647059,0.5622641509433962,0.4965986394557823
10.0,rbf,scale,4,0.9735294117647059,0.5622641509433962,0.4965986394557823
10.0,rbf,auto,2,0.8382352941176471,0.5773584905660377,0.5306122448979592
10.0,rbf,auto,3,0.8382352941176471,0.5773584905660377,0.5306122448979592
10.0,rbf,auto,4,0.8382352941176471,0.5773584905660377,0.5306122448979592
10.0,sigmoid,scale,2,0.5970588235294118,0.5735849056603773,0.46938775510204084
10.0,sigmoid,scale,3,0.5970588235294118,0.5735849056603773,0.46938775510204084
10.0,sigmoid,scale,4,0.5970588235294118,0.5735849056603773,0.46938775510204084
10.0,sigmoid,auto,2,0.7705882352941177,0.6,0.5306122448979592
10.0,sigmoid,auto,3,0.7705882352941177,0.6,0.5306122448979592
10.0,sigmoid,auto,4,0.7705882352941177,0.6,0.5306122448979592
100.0,linear,scale,2,0.8117647058823529,0.5962264150943396,0.5782312925170068
100.0,linear,scale,3,0.8117647058823529,0.5962264150943396,0.5782312925170068
100.0,linear,scale,4,0.8117647058823529,0.5962264150943396,0.5782312925170068
100.0,linear,auto,2,0.8117647058823529,0.5962264150943396,0.5782312925170068
100.0,linear,auto,3,0.8117647058823529,0.5962264150943396,0.5782312925170068
100.0,linear,auto,4,0.8117647058823529,0.5962264150943396,0.5782312925170068
100.0,poly,scale,2,1.0,0.5207547169811321,0.47619047619047616
100.0,poly,scale,3,1.0,0.5433962264150943,0.4897959183673469
100.0,poly,scale,4,1.0,0.5547169811320755,0.5306122448979592
100.0,poly,auto,2,0.8970588235294118,0.5547169811320755,0.5374149659863946
100.0,poly,auto,3,0.861764705882353,0.5509433962264151,0.47619047619047616
100.0,poly,auto,4,0.7794117647058824,0.5018867924528302,0.4217687074829932
100.0,rbf,scale,2,1.0,0.5358490566037736,0.48299319727891155
100.0,rbf,scale,3,1.0,0.5358490566037736,0.48299319727891155
100.0,rbf,scale,4,1.0,0.5358490566037736,0.48299319727891155
100.0,rbf,auto,2,0.9294117647058824,0.5433962264150943,0.5238095238095238
100.0,rbf,auto,3,0.9294117647058824,0.5433962264150943,0.5238095238095238
100.0,rbf,auto,4,0.9294117647058824,0.5433962264150943,0.5238095238095238
100.0,sigmoid,scale,2,0.6029411764705882,0.5509433962264151,0.46258503401360546
100.0,sigmoid,scale,3,0.6029411764705882,0.5509433962264151,0.46258503401360546
100.0,sigmoid,scale,4,0.6029411764705882,0.5509433962264151,0.46258503401360546
100.0,sigmoid,auto,2,0.7588235294117647,0.6188679245283019,0.5306122448979592
100.0,sigmoid,auto,3,0.7588235294117647,0.6188679245283019,0.5306122448979592
100.0,sigmoid,auto,4,0.7588235294117647,0.6188679245283019,0.5306122448979592
