n_estimators,learning_rate,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
800,0.01,8,0.9481981981981982,0.8377358490566038,0.7687074829931972
800,0.01,10,0.9459459459459459,0.8415094339622642,0.7891156462585034
800,0.01,12,0.9436936936936937,0.8490566037735849,0.7755102040816326
800,0.01,15,0.9436936936936937,0.8377358490566038,0.7959183673469388
900,0.01,8,0.9498873873873874,0.8301886792452831,0.7891156462585034
900,0.01,10,0.9521396396396397,0.8301886792452831,0.8027210884353742
900,0.01,12,0.9510135135135135,0.8301886792452831,0.782312925170068
900,0.01,15,0.9487612612612613,0.8339622641509434,0.8027210884353742
1000,0.01,8,0.9572072072072072,0.8377358490566038,0.7959183673469388
1000,0.01,10,0.9543918918918919,0.8339622641509434,0.8231292517006803
1000,0.01,12,0.9583333333333334,0.8339622641509434,0.8095238095238095
1000,0.01,15,0.9583333333333334,0.8377358490566038,0.8163265306122449
