C,penalty,solver,train_accuracy,validation_accuracy,test_accuracy
0.01,l1,liblinear,0.6722972972972973,0.7018867924528301,0.6802721088435374
0.01,l1,saga,0.6722972972972973,0.7018867924528301,0.6802721088435374
0.01,l2,liblinear,0.7483108108108109,0.7471698113207547,0.7278911564625851
0.01,l2,saga,0.7466216216216216,0.7320754716981132,0.7346938775510204
0.1,l1,liblinear,0.7381756756756757,0.7396226415094339,0.7278911564625851
0.1,l1,saga,0.7595720720720721,0.7320754716981132,0.7006802721088435
0.1,l2,liblinear,0.7680180180180181,0.7547169811320755,0.7346938775510204
0.1,l2,saga,0.7736486486486487,0.7509433962264151,0.7414965986394558
1.0,l1,liblinear,0.777027027027027,0.7735849056603774,0.7278911564625851
1.0,l1,saga,0.7753378378378378,0.7811320754716982,0.7210884353741497
1.0,l2,liblinear,0.7713963963963963,0.769811320754717,0.7414965986394558
1.0,l2,saga,0.7702702702702703,0.7735849056603774,0.7414965986394558
10.0,l1,liblinear,0.767454954954955,0.7660377358490567,0.7142857142857143
10.0,l1,saga,0.767454954954955,0.7660377358490567,0.7142857142857143
10.0,l2,liblinear,0.768581081081081,0.7660377358490567,0.7142857142857143
10.0,l2,saga,0.7680180180180181,0.7660377358490567,0.7142857142857143
100.0,l1,liblinear,0.7668918918918919,0.769811320754717,0.7142857142857143
100.0,l1,saga,0.7668918918918919,0.769811320754717,0.7142857142857143
100.0,l2,liblinear,0.7668918918918919,0.769811320754717,0.7142857142857143
100.0,l2,saga,0.7668918918918919,0.769811320754717,0.7142857142857143
