n_estimators,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
600,8,0.9831081081081081,0.8603773584905661,0.8367346938775511
600,10,0.9718468468468469,0.8603773584905661,0.8367346938775511
600,12,0.9572072072072072,0.8415094339622642,0.8231292517006803
600,15,0.9262387387387387,0.8452830188679246,0.8095238095238095
700,8,0.982545045045045,0.8641509433962264,0.8231292517006803
700,10,0.9724099099099099,0.8566037735849057,0.8299319727891157
700,12,0.9543918918918919,0.8452830188679246,0.8299319727891157
700,15,0.9279279279279279,0.8339622641509434,0.8095238095238095
800,8,0.9819819819819819,0.8679245283018868,0.8435374149659864
800,10,0.9724099099099099,0.8603773584905661,0.8299319727891157
800,12,0.954954954954955,0.8452830188679246,0.8299319727891157
800,15,0.9262387387387387,0.8415094339622642,0.8163265306122449
