n_estimators,learning_rate,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
800,0.01,8,0.9735294117647059,0.6981132075471698,0.6394557823129252
800,0.01,10,0.9676470588235294,0.7018867924528301,0.6258503401360545
800,0.01,12,0.9705882352941176,0.7094339622641509,0.6598639455782312
800,0.01,15,0.9676470588235294,0.6981132075471698,0.6938775510204082
900,0.01,8,0.9823529411764705,0.6981132075471698,0.6394557823129252
900,0.01,10,0.9735294117647059,0.6943396226415094,0.6258503401360545
900,0.01,12,0.9794117647058823,0.6981132075471698,0.6462585034013606
900,0.01,15,0.9735294117647059,0.6981132075471698,0.673469387755102
1000,0.01,8,0.9882352941176471,0.6943396226415094,0.6326530612244898
1000,0.01,10,0.9852941176470589,0.7018867924528301,0.6326530612244898
1000,0.01,12,0.9764705882352941,0.7056603773584905,0.6394557823129252
1000,0.01,15,0.9764705882352941,0.6981132075471698,0.6598639455782312
