C,penalty,solver,train_accuracy,validation_accuracy,test_accuracy
0.01,l1,liblinear,0.5,0.8377358490566038,0.8367346938775511
0.01,l1,saga,0.5,0.8377358490566038,0.8367346938775511
0.01,l2,liblinear,0.7441176470588236,0.7622641509433963,0.7482993197278912
0.01,l2,saga,0.7470588235294118,0.7396226415094339,0.673469387755102
0.1,l1,liblinear,0.7235294117647059,0.6679245283018868,0.5918367346938775
0.1,l1,saga,0.6911764705882353,0.7018867924528301,0.6666666666666666
0.1,l2,liblinear,0.788235294117647,0.7396226415094339,0.7210884353741497
0.1,l2,saga,0.788235294117647,0.7245283018867924,0.7006802721088435
1.0,l1,liblinear,0.8058823529411765,0.7283018867924528,0.6870748299319728
1.0,l1,saga,0.8029411764705883,0.7396226415094339,0.673469387755102
1.0,l2,liblinear,0.8088235294117647,0.7396226415094339,0.673469387755102
1.0,l2,saga,0.8058823529411765,0.7320754716981132,0.6802721088435374
10.0,l1,liblinear,0.8294117647058824,0.7358490566037735,0.6938775510204082
10.0,l1,saga,0.8323529411764706,0.7320754716981132,0.6870748299319728
10.0,l2,liblinear,0.8323529411764706,0.7320754716981132,0.6870748299319728
10.0,l2,saga,0.8323529411764706,0.7320754716981132,0.6870748299319728
100.0,l1,liblinear,0.8352941176470589,0.7283018867924528,0.7006802721088435
100.0,l1,saga,0.8352941176470589,0.7245283018867924,0.6870748299319728
100.0,l2,liblinear,0.8323529411764706,0.7245283018867924,0.6938775510204082
100.0,l2,saga,0.8323529411764706,0.720754716981132,0.6938775510204082
