n_estimators,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
600,8,0.861764705882353,0.7396226415094339,0.6938775510204082
600,10,0.8411764705882353,0.7245283018867924,0.6802721088435374
600,12,0.8352941176470589,0.7132075471698113,0.6802721088435374
600,15,0.8029411764705883,0.720754716981132,0.6870748299319728
700,8,0.8558823529411764,0.7396226415094339,0.7006802721088435
700,10,0.8441176470588235,0.7245283018867924,0.6802721088435374
700,12,0.8264705882352941,0.7169811320754716,0.6802721088435374
700,15,0.7970588235294118,0.720754716981132,0.673469387755102
800,8,0.8588235294117647,0.7358490566037735,0.6938775510204082
800,10,0.8411764705882353,0.7245283018867924,0.6802721088435374
800,12,0.8294117647058824,0.720754716981132,0.6802721088435374
800,15,0.8029411764705883,0.720754716981132,0.6802721088435374
