C,kernel,gamma,degree,train_accuracy,validation_accuracy,test_accuracy
0.01,linear,scale,2,0.7441176470588236,0.7660377358490567,0.7210884353741497
0.01,linear,scale,3,0.7441176470588236,0.7660377358490567,0.7210884353741497
0.01,linear,scale,4,0.7441176470588236,0.7660377358490567,0.7210884353741497
0.01,linear,auto,2,0.7441176470588236,0.7660377358490567,0.7210884353741497
0.01,linear,auto,3,0.7441176470588236,0.7660377358490567,0.7210884353741497
0.01,linear,auto,4,0.7441176470588236,0.7660377358490567,0.7210884353741497
0.01,poly,scale,2,0.75,0.6490566037735849,0.5782312925170068
0.01,poly,scale,3,0.6911764705882353,0.4226415094339623,0.4557823129251701
0.01,poly,scale,4,0.6352941176470588,0.3169811320754717,0.29931972789115646
0.01,poly,auto,2,0.75,0.6490566037735849,0.5782312925170068
0.01,poly,auto,3,0.6911764705882353,0.4226415094339623,0.4557823129251701
0.01,poly,auto,4,0.611764705882353,0.2830188679245283,0.2925170068027211
0.01,rbf,scale,2,0.7764705882352941,0.7811320754716982,0.7482993197278912
0.01,rbf,scale,3,0.7764705882352941,0.7811320754716982,0.7482993197278912
0.01,rbf,scale,4,0.7764705882352941,0.7811320754716982,0.7482993197278912
0.01,rbf,auto,2,0.75,0.7547169811320755,0.7346938775510204
0.01,rbf,auto,3,0.75,0.7547169811320755,0.7346938775510204
0.01,rbf,auto,4,0.75,0.7547169811320755,0.7346938775510204
0.01,sigmoid,scale,2,0.7,0.8339622641509434,0.8163265306122449
0.01,sigmoid,scale,3,0.7,0.8339622641509434,0.8163265306122449
0.01,sigmoid,scale,4,0.7,0.8339622641509434,0.8163265306122449
0.01,sigmoid,auto,2,0.7441176470588236,0.7584905660377359,0.7142857142857143
0.01,sigmoid,auto,3,0.7441176470588236,0.7584905660377359,0.7142857142857143
0.01,sigmoid,auto,4,0.7441176470588236,0.7584905660377359,0.7142857142857143
0.1,linear,scale,2,0.8029411764705883,0.7584905660377359,0.7278911564625851
0.1,linear,scale,3,0.8029411764705883,0.7584905660377359,0.7278911564625851
0.1,linear,scale,4,0.8029411764705883,0.7584905660377359,0.7278911564625851
0.1,linear,auto,2,0.8029411764705883,0.7584905660377359,0.7278911564625851
0.1,linear,auto,3,0.8029411764705883,0.7584905660377359,0.7278911564625851
