n_estimators,learning_rate,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
800,0.01,8,0.9661399548532731,0.8603773584905661,0.8095238095238095
800,0.01,10,0.9650112866817155,0.8603773584905661,0.8367346938775511
800,0.01,12,0.963882618510158,0.8603773584905661,0.8367346938775511
800,0.01,15,0.9627539503386005,0.8528301886792453,0.8299319727891157
900,0.01,8,0.9678329571106095,0.8528301886792453,0.8231292517006803
900,0.01,10,0.9672686230248307,0.8603773584905661,0.8367346938775511
900,0.01,12,0.9672686230248307,0.8641509433962264,0.8367346938775511
900,0.01,15,0.9661399548532731,0.8528301886792453,0.8503401360544217
1000,0.01,8,0.9706546275395034,0.8528301886792453,0.8163265306122449
1000,0.01,10,0.9723476297968398,0.8566037735849057,0.8367346938775511
1000,0.01,12,0.9706546275395034,0.8528301886792453,0.8435374149659864
1000,0.01,15,0.9729119638826185,0.8490566037735849,0.8367346938775511
