C,penalty,solver,train_accuracy,validation_accuracy,test_accuracy
0.01,l1,liblinear,0.7291196388261851,0.7018867924528301,0.6802721088435374
0.01,l1,saga,0.6766365688487584,0.7018867924528301,0.6802721088435374
0.01,l2,liblinear,0.7612866817155757,0.7509433962264151,0.7551020408163265
0.01,l2,saga,0.7618510158013544,0.7433962264150943,0.7551020408163265
0.1,l1,liblinear,0.7674943566591422,0.7471698113207547,0.7482993197278912
0.1,l1,saga,0.7793453724604966,0.7396226415094339,0.7278911564625851
0.1,l2,liblinear,0.7917607223476298,0.7735849056603774,0.7551020408163265
0.1,l2,saga,0.79627539503386,0.769811320754717,0.7551020408163265
1.0,l1,liblinear,0.8019187358916479,0.7811320754716982,0.7551020408163265
1.0,l1,saga,0.801354401805869,0.7886792452830189,0.7551020408163265
1.0,l2,liblinear,0.8053047404063205,0.7849056603773585,0.7551020408163265
1.0,l2,saga,0.8036117381489842,0.7849056603773585,0.7551020408163265
10.0,l1,liblinear,0.801354401805869,0.7773584905660378,0.7414965986394558
10.0,l1,saga,0.8007900677200903,0.7811320754716982,0.7482993197278912
10.0,l2,liblinear,0.8007900677200903,0.7773584905660378,0.7482993197278912
10.0,l2,saga,0.8007900677200903,0.7773584905660378,0.7482993197278912
100.0,l1,liblinear,0.8002257336343115,0.769811320754717,0.7414965986394558
100.0,l1,saga,0.8002257336343115,0.769811320754717,0.7414965986394558
100.0,l2,liblinear,0.8002257336343115,0.769811320754717,0.7414965986394558
100.0,l2,saga,0.8002257336343115,0.769811320754717,0.7414965986394558
