n_estimators,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
600,8,0.9683972911963883,0.8905660377358491,0.8639455782312925
600,10,0.9559819413092551,0.8905660377358491,0.8639455782312925
600,12,0.9514672686230248,0.8830188679245283,0.8503401360544217
600,15,0.9396162528216704,0.8830188679245283,0.8639455782312925
700,8,0.9678329571106095,0.8905660377358491,0.8639455782312925
700,10,0.9559819413092551,0.8905660377358491,0.8707482993197279
700,12,0.9509029345372461,0.8830188679245283,0.8571428571428571
700,15,0.9396162528216704,0.879245283018868,0.8571428571428571
800,8,0.9661399548532731,0.8905660377358491,0.8707482993197279
800,10,0.9571106094808126,0.8905660377358491,0.8571428571428571
800,12,0.9509029345372461,0.8830188679245283,0.8571428571428571
800,15,0.9390519187358917,0.8830188679245283,0.8571428571428571
