C,kernel,gamma,degree,train_accuracy,validation_accuracy,test_accuracy
0.01,linear,scale,2,0.7748306997742663,0.7584905660377359,0.7482993197278912
0.01,linear,scale,3,0.7748306997742663,0.7584905660377359,0.7482993197278912
0.01,linear,scale,4,0.7748306997742663,0.7584905660377359,0.7482993197278912
0.01,linear,auto,2,0.7748306997742663,0.7584905660377359,0.7482993197278912
0.01,linear,auto,3,0.7748306997742663,0.7584905660377359,0.7482993197278912
0.01,linear,auto,4,0.7748306997742663,0.7584905660377359,0.7482993197278912
0.01,poly,scale,2,0.7686230248306998,0.7056603773584905,0.7142857142857143
0.01,poly,scale,3,0.7844243792325056,0.7018867924528301,0.6598639455782312
0.01,poly,scale,4,0.804176072234763,0.7056603773584905,0.6666666666666666
0.01,poly,auto,2,0.7127539503386005,0.539622641509434,0.5510204081632653
0.01,poly,auto,3,0.6252821670428894,0.35094339622641507,0.38095238095238093
0.01,poly,auto,4,0.5671557562076749,0.27547169811320754,0.2653061224489796
0.01,rbf,scale,2,0.7787810383747178,0.8150943396226416,0.7959183673469388
0.01,rbf,scale,3,0.7787810383747178,0.8150943396226416,0.7959183673469388
0.01,rbf,scale,4,0.7787810383747178,0.8150943396226416,0.7959183673469388
0.01,rbf,auto,2,0.7573363431151241,0.7660377358490567,0.7959183673469388
0.01,rbf,auto,3,0.7573363431151241,0.7660377358490567,0.7959183673469388
0.01,rbf,auto,4,0.7573363431151241,0.7660377358490567,0.7959183673469388
0.01,sigmoid,scale,2,0.7279909706546276,0.7622641509433963,0.782312925170068
0.01,sigmoid,scale,3,0.7279909706546276,0.7622641509433963,0.782312925170068
0.01,sigmoid,scale,4,0.7279909706546276,0.7622641509433963,0.782312925170068
0.01,sigmoid,auto,2,0.7522573363431151,0.7622641509433963,0.7755102040816326
0.01,sigmoid,auto,3,0.7522573363431151,0.7622641509433963,0.7755102040816326
0.01,sigmoid,auto,4,0.7522573363431151,0.7622641509433963,0.7755102040816326
0.1,linear,scale,2,0.8086907449209932,0.7849056603773585,0.7619047619047619
0.1,linear,scale,3,0.8086907449209932,0.7849056603773585,0.7619047619047619
0.1,linear,scale,4,0.8086907449209932,0.7849056603773585,0.7619047619047619
0.1,linear,auto,2,0.8086907449209932,0.7849056603773585,0.7619047619047619
0.1,linear,auto,3,0.8086907449209932,0.7849056603773585,0.7619047619047619
0.1,linear,auto,4,0.8086907449209932,0.7849056603773585,0.7619047619047619
0.1,poly,scale,2,0.8380361173814899,0.7924528301886793,0.7551020408163265
0.1,poly,scale,3,0.8927765237020316,0.8037735849056604,0.7278911564625851
0.1,poly,scale,4,0.940744920993228,0.8113207547169812,0.7278911564625851
0.1,poly,auto,2,0.7127539503386005,0.539622641509434,0.5510204081632653
0.1,poly,auto,3,0.6252821670428894,0.35094339622641507,0.38095238095238093
