n_estimators,learning_rate,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
800,0.01,8,0.9634009009009009,0.8566037735849057,0.8299319727891157
800,0.01,10,0.9622747747747747,0.8603773584905661,0.8503401360544217
800,0.01,12,0.9628378378378378,0.8528301886792453,0.8367346938775511
800,0.01,15,0.9622747747747747,0.8566037735849057,0.8367346938775511
900,0.01,8,0.9690315315315315,0.8566037735849057,0.8231292517006803
900,0.01,10,0.9679054054054054,0.8566037735849057,0.8435374149659864
900,0.01,12,0.9667792792792793,0.8528301886792453,0.8435374149659864
900,0.01,15,0.9662162162162162,0.8566037735849057,0.8367346938775511
1000,0.01,8,0.9724099099099099,0.8528301886792453,0.8231292517006803
1000,0.01,10,0.9724099099099099,0.8566037735849057,0.8435374149659864
1000,0.01,12,0.9701576576576577,0.8528301886792453,0.8435374149659864
1000,0.01,15,0.9712837837837838,0.8528301886792453,0.8367346938775511
