n_estimators,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
600,8,0.9656531531531531,0.8830188679245283,0.8571428571428571
600,10,0.954954954954955,0.8830188679245283,0.8639455782312925
600,12,0.9476351351351351,0.8830188679245283,0.8435374149659864
600,15,0.9403153153153153,0.8830188679245283,0.8639455782312925
700,8,0.9656531531531531,0.8867924528301887,0.8571428571428571
700,10,0.956081081081081,0.8867924528301887,0.8639455782312925
700,12,0.9470720720720721,0.8867924528301887,0.8503401360544217
700,15,0.9408783783783784,0.8905660377358491,0.8639455782312925
800,8,0.9650900900900901,0.8867924528301887,0.8707482993197279
800,10,0.956081081081081,0.8830188679245283,0.8503401360544217
800,12,0.9481981981981982,0.8905660377358491,0.8503401360544217
800,15,0.9408783783783784,0.8867924528301887,0.8571428571428571
