n_estimators,learning_rate,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
800,0.01,8,0.9461615154536391,0.8679245283018868,0.8707482993197279
800,0.01,10,0.938185443668993,0.8754716981132076,0.8503401360544217
800,0.01,12,0.942173479561316,0.879245283018868,0.8571428571428571
800,0.01,15,0.9431704885343968,0.8716981132075472,0.8435374149659864
900,0.01,8,0.9551345962113659,0.8641509433962264,0.8707482993197279
900,0.01,10,0.9551345962113659,0.8716981132075472,0.8435374149659864
900,0.01,12,0.9491525423728814,0.879245283018868,0.8503401360544217
900,0.01,15,0.9491525423728814,0.879245283018868,0.8435374149659864
1000,0.01,8,0.9621136590229312,0.8679245283018868,0.8639455782312925
1000,0.01,10,0.9601196410767697,0.8641509433962264,0.8435374149659864
1000,0.01,12,0.9551345962113659,0.8754716981132076,0.8503401360544217
1000,0.01,15,0.9561316051844466,0.879245283018868,0.8367346938775511
