C,penalty,solver,train_accuracy,validation_accuracy,test_accuracy
0.01,l1,liblinear,0.8305084745762712,0.8377358490566038,0.8367346938775511
0.01,l1,saga,0.8305084745762712,0.8377358490566038,0.8367346938775511
0.01,l2,liblinear,0.8305084745762712,0.8377358490566038,0.8367346938775511
0.01,l2,saga,0.8305084745762712,0.8377358490566038,0.8367346938775511
0.1,l1,liblinear,0.8464606181455633,0.8566037735849057,0.8571428571428571
0.1,l1,saga,0.8404785643070788,0.8377358490566038,0.8435374149659864
0.1,l2,liblinear,0.8654037886340977,0.8716981132075472,0.8503401360544217
0.1,l2,saga,0.8654037886340977,0.8754716981132076,0.8503401360544217
1.0,l1,liblinear,0.8983050847457628,0.8716981132075472,0.8707482993197279
1.0,l1,saga,0.8983050847457628,0.8754716981132076,0.8571428571428571
1.0,l2,liblinear,0.8983050847457628,0.8679245283018868,0.8707482993197279
1.0,l2,saga,0.8993020937188435,0.8716981132075472,0.8571428571428571
10.0,l1,liblinear,0.8963110667996012,0.8830188679245283,0.8299319727891157
10.0,l1,saga,0.8963110667996012,0.8830188679245283,0.8299319727891157
10.0,l2,liblinear,0.8963110667996012,0.8830188679245283,0.8367346938775511
10.0,l2,saga,0.8963110667996012,0.8830188679245283,0.8367346938775511
100.0,l1,liblinear,0.8963110667996012,0.8867924528301887,0.8299319727891157
100.0,l1,saga,0.8963110667996012,0.8867924528301887,0.8299319727891157
100.0,l2,liblinear,0.8963110667996012,0.8867924528301887,0.8299319727891157
100.0,l2,saga,0.8963110667996012,0.8867924528301887,0.8299319727891157
