n_estimators,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
600,8,0.8713858424725822,0.8528301886792453,0.8367346938775511
600,10,0.8574277168494516,0.8528301886792453,0.8367346938775511
600,12,0.8554336989032901,0.8528301886792453,0.8367346938775511
600,15,0.8504486540378864,0.8490566037735849,0.8367346938775511
700,8,0.8693918245264207,0.8528301886792453,0.8367346938775511
700,10,0.8594217347956131,0.8528301886792453,0.8367346938775511
700,12,0.8554336989032901,0.8528301886792453,0.8367346938775511
700,15,0.8504486540378864,0.8490566037735849,0.8367346938775511
800,8,0.8693918245264207,0.8566037735849057,0.8367346938775511
800,10,0.8594217347956131,0.8528301886792453,0.8367346938775511
800,12,0.8554336989032901,0.8528301886792453,0.8367346938775511
800,15,0.8504486540378864,0.8528301886792453,0.8367346938775511
