n_estimators,learning_rate,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
600,0.01,8,0.9262759924385633,0.879245283018868,0.8707482993197279
600,0.01,10,0.9224952741020794,0.8754716981132076,0.8707482993197279
600,0.01,12,0.9215500945179584,0.879245283018868,0.8707482993197279
600,0.01,15,0.9215500945179584,0.8679245283018868,0.8639455782312925
700,0.01,8,0.9310018903591682,0.8716981132075472,0.8707482993197279
700,0.01,10,0.9328922495274102,0.8716981132075472,0.8707482993197279
700,0.01,12,0.9300567107750473,0.8716981132075472,0.8639455782312925
700,0.01,15,0.9328922495274102,0.8716981132075472,0.8571428571428571
800,0.01,8,0.9404536862003781,0.8716981132075472,0.8707482993197279
800,0.01,10,0.9404536862003781,0.8716981132075472,0.8707482993197279
800,0.01,12,0.941398865784499,0.8679245283018868,0.8707482993197279
800,0.01,15,0.9404536862003781,0.8641509433962264,0.8571428571428571
