C,penalty,solver,train_accuracy,validation_accuracy,test_accuracy
0.01,l1,liblinear,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,l1,saga,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,l2,liblinear,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,l2,saga,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.1,l1,liblinear,0.8487712665406427,0.8528301886792453,0.8503401360544217
0.1,l1,saga,0.8459357277882797,0.8415094339622642,0.8367346938775511
0.1,l2,liblinear,0.8676748582230623,0.8566037735849057,0.8503401360544217
0.1,l2,saga,0.8686200378071833,0.8566037735849057,0.8503401360544217
1.0,l1,liblinear,0.8950850661625709,0.8679245283018868,0.8639455782312925
1.0,l1,saga,0.8960302457466919,0.8754716981132076,0.8707482993197279
1.0,l2,liblinear,0.8969754253308129,0.8641509433962264,0.8639455782312925
1.0,l2,saga,0.8969754253308129,0.8679245283018868,0.8775510204081632
10.0,l1,liblinear,0.8979206049149339,0.8679245283018868,0.8571428571428571
10.0,l1,saga,0.8979206049149339,0.8641509433962264,0.8571428571428571
10.0,l2,liblinear,0.8969754253308129,0.8679245283018868,0.8639455782312925
10.0,l2,saga,0.8969754253308129,0.8679245283018868,0.8639455782312925
100.0,l1,liblinear,0.8979206049149339,0.8679245283018868,0.8503401360544217
100.0,l1,saga,0.8979206049149339,0.8679245283018868,0.8503401360544217
100.0,l2,liblinear,0.8979206049149339,0.8679245283018868,0.8503401360544217
100.0,l2,saga,0.8979206049149339,0.8679245283018868,0.8503401360544217
