n_estimators,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
600,8,0.8686200378071833,0.8566037735849057,0.8367346938775511
600,10,0.8657844990548205,0.8566037735849057,0.8367346938775511
600,12,0.8620037807183365,0.8566037735849057,0.8367346938775511
600,15,0.8553875236294896,0.8528301886792453,0.8367346938775511
700,8,0.8686200378071833,0.8566037735849057,0.8367346938775511
700,10,0.8657844990548205,0.8566037735849057,0.8367346938775511
700,12,0.8601134215500945,0.8566037735849057,0.8367346938775511
700,15,0.8553875236294896,0.8490566037735849,0.8367346938775511
800,8,0.8686200378071833,0.8566037735849057,0.8367346938775511
800,10,0.8657844990548205,0.8566037735849057,0.8367346938775511
800,12,0.8601134215500945,0.8566037735849057,0.8367346938775511
800,15,0.8553875236294896,0.8490566037735849,0.8367346938775511
