C,kernel,gamma,degree,train_accuracy,validation_accuracy,test_accuracy
0.01,linear,scale,2,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,linear,scale,3,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,linear,scale,4,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,linear,auto,2,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,linear,auto,3,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,linear,auto,4,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,poly,scale,2,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,poly,scale,3,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,poly,scale,4,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,poly,auto,2,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,poly,auto,3,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,poly,auto,4,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,rbf,scale,2,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,rbf,scale,3,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,rbf,scale,4,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,rbf,auto,2,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,rbf,auto,3,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,rbf,auto,4,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,sigmoid,scale,2,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,sigmoid,scale,3,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,sigmoid,scale,4,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,sigmoid,auto,2,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,sigmoid,auto,3,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.01,sigmoid,auto,4,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.1,linear,scale,2,0.8440453686200378,0.8377358490566038,0.8367346938775511
0.1,linear,scale,3,0.8440453686200378,0.8377358490566038,0.8367346938775511
0.1,linear,scale,4,0.8440453686200378,0.8377358490566038,0.8367346938775511
0.1,linear,auto,2,0.8440453686200378,0.8377358490566038,0.8367346938775511
0.1,linear,auto,3,0.8440453686200378,0.8377358490566038,0.8367346938775511
0.1,linear,auto,4,0.8440453686200378,0.8377358490566038,0.8367346938775511
0.1,poly,scale,2,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.1,poly,scale,3,0.8478260869565217,0.8377358490566038,0.8367346938775511
0.1,poly,scale,4,0.8733459357277883,0.8415094339622642,0.8231292517006803
0.1,poly,auto,2,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.1,poly,auto,3,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.1,poly,auto,4,0.8393194706994329,0.8377358490566038,0.8367346938775511
0.1,rbf,scale,2,0.8393194706994329,0.8377358490566038,0.8367346938775511
